department_id,company_id,department
5,9,Operations
6,4,General
50,132,General
51,132,Technical
52,132,Marketing
53,132,Sales
54,132,Management
82,184,DIRECTOR
83,184,CHIEF EXECUTIVE OFFICER
84,184,HUMAN RESOURCE & ADMIN
85,184,JIWEZE DEVELOPMENT LTD
86,184,FINANCE
87,184,INTERNAL AUDIT
88,184,Customer Service/Admin
89,184,CREDIT & BUSINESS DEVELOPMENT
90,184,General
94,184,Credit and Business Development
95,4,Developers
96,4,Creatives
97,4,Marketing
98,4,Customer Support
113,184,CEO
114,10,General
115,10,General
116,10,SALES AND MARKETING
117,10,PRODUCTION
118,10,FINANCE
119,10,ADMINISTRATION
121,192,General
122,191,General
123,193,General
124,194,General
126,197,General
128,205,General
129,206,General
130,207,General
132,209,General
133,1,General
134,210,General
135,212,General
136,213,General
137,216,General
138,217,General
140,218,Marketing
141,219,General
143,224,General
144,226,General
146,225,General
148,228,General
149,230,General
150,232,General
151,233,General
152,234,General
153,237,General
154,238,General
155,239,General
156,240,General
157,241,General
158,243,General
159,9,Engineering
160,9,Sales & Marketing
161,245,General
162,247,General
163,247,finance
164,246,General
165,248,General
166,247,OPERATIONS
167,247,TRANSPORT
168,247,ADMINISTRATION
169,247,WORKSHOP
170,249,General
171,250,General
172,251,General
173,252,General
174,253,General
175,253,OPERATIONS
176,214,General
177,257,General
178,243,Operations
179,252,TRANSPORT
180,252,OPERATIONS
181,215,General
182,260,General
183,259,General
184,268,General
186,271,General
187,273,General
188,274,General
189,247,TOP MANAGEMENT
190,275,Office Administration
191,275,Home Installations
192,275,Civil Works
193,275,FTTH - Installations
194,275,Operations Manager
195,277,Head Office
196,279,General
197,277,Guarding
198,277,Operations
199,280,General
200,278,General
201,283,General
202,285,General
203,286,General
204,284,General
205,287,General
206,9,Management
207,277,Management
208,288,General
209,290,General
210,291,General
212,294,General
213,295,General
214,296,General
215,297,Office of the CPO
216,298,General
217,300,General
218,301,Office Admin
219,304,General
220,305,General
221,306,General
222,308,Finance
223,309,General
224,311,General
225,314,General
226,314,Product Development
227,314,Sales and Marketing
228,314,HR and Finance
229,314,Creative Services
230,314,Client Services
231,312,General
232,315,Business Support
233,315,Human Resources
234,315,Finance
235,315,Business Development
236,315,I.C.T.D
237,315,Credit
238,315,Internal Audit
239,315,Administration & Logistics
241,315,Executive
242,336,General
243,337,General
244,339,General
245,205,HR
246,341,General
247,341,HR
248,297,Office of the CEO- Shared Services
249,297,Office of the CTO
250,342,General
251,343,General
252,344,General
253,297,"Office of the CSO (Strategy, Sales, Legal)"
254,297,Office of the CEO
255,341,Operations
256,274,Inventory
257,274,Purchase
258,274,Marketing
259,274,Sales
260,349,General
261,349,Operations
262,352,General
263,354,Management
264,358,General
265,360,General
266,361,General
268,367,General
269,360,Operations
270,369,General
271,358,Operations
272,362,General
273,311,PRODUCTION
274,368,General
275,371,OPERATIONS
276,371,ADMIN
277,1,Operations
278,1,security guard
279,372,General
280,374,General
281,362,operatons
282,375,General
283,373,General
284,301,Operations
285,378,General
286,380,General
288,383,General
289,389,General
290,379,General
291,391,General
292,392,General
293,393,General
294,394,General
295,396,General
296,392,Operations
297,398,General
298,400,General
299,407,General
300,405,General
301,410,General
302,411,General
303,365,General
304,412,General
305,425,General
306,428,General
307,397,General
308,431,General
309,432,General
310,433,General
311,409,General
312,408,General
313,431,Finance
314,431,Production
315,431,Human Resource
316,431,Sales
317,434,General
318,436,General
319,438,General
320,1,FINANCE edited today
321,441,General
322,444,General
323,451,General
324,431,EXECUTIVE
325,375,Operations
326,375,Security Guards
328,460,General
329,461,General
330,462,General
331,465,General
333,315,Insurance
334,1,Executive
335,467,General Department
336,467,car loan
337,409,OPERATIONS
338,260,Security 1
339,275,Management
340,1,credit
341,521,General
342,519,General
344,301,General
345,527,General
346,532,General
347,534,General
348,536,General
349,379,OPERATIONS
350,433,OPERATIONS
351,537,General
352,538,General
353,540,General
354,539,General
356,542,General
357,9,Customer Support
358,526,KITCHEN
359,547,General
360,540,OPERATIONS
361,243,Admin
362,243,Finance
363,547,Operations
364,546,General
365,556,General
366,546,Operation
367,373,Operations
368,587,General
369,595,Operations
370,596,OPERATIONS
371,600,SALES
372,600,ACCOUNTS
373,600,HUMAN RESOURCE
374,400,Security Management
375,400,Logistics Support
376,605,UNICEF
377,605,HEALTH SERVICES
378,639,OPERATIONS
379,639,SALES
380,639,ENGINEERING
381,639,ADMINISTRATION
382,639,ACCOUNTS
383,644,Sales
384,431,Dispatch
385,652,Human Resource
386,652,Operations
387,652,ICT
389,1,Fiel
390,1,MEDICINE
391,675,Human Resource
392,675,Operations Department
393,672,Human Resource
394,672,Operations Department
395,674,Human Resource
396,674,Operations Department
397,676,Human Resource
398,676,Operations Department
399,677,Operations
400,677,Human Resource
401,673,Nairobi Ops
402,680,Human Resource
403,680,Operations Department
404,685,Operations Department
405,685,Human Resource Department
406,688,Human Resource Department
407,688,Operations Department
408,651,Production
409,651,Service
410,651,Logistics
411,651,Canteen
412,695,Clinical
413,695,Adminstration
414,695,Support
415,696,Fiber
416,697,General
418,699,General
419,700,General
420,701,General
422,704,General
423,705,General
424,706,LOGISTICS AND STORE
425,707,General
426,708,General
427,709,General
428,706,PANEL PREPARATION
429,706,STITCHING
430,706,SALES
432,706,GENERAL ADMIN
