kr_id,obj_Id,owner_id,company_id,created_at,is_complete,name
1,18,98866,2288,25/10/2023 09:49,0,Hiring engineers
2,20,100264,711,25/10/2023 11:17,0,Increase social media campaigns
3,20,74476,711,25/10/2023 11:17,0,Implement a marketing tool
4,20,25451,711,25/10/2023 15:34,0,automation testing
5,23,86703,711,26/10/2023 11:13,0,Joan Q4 KR 3.1 Conduct productive meetings with representatives from three different departments to collect their dashboard requirements and document them in the data plan.
12,23,86703,711,26/10/2023 12:36,0,Joan Q4 KR 3.2 Verify that all necessary segment events for both mobile and web apps are successfully implemented and operational
13,23,29152,711,26/10/2023 12:36,0,Praise Q4 KR 3.1 Ensure that metrics are documented to measure for any new features that are designed
14,23,86703,711,26/10/2023 12:38,0,huijl
18,21,86703,711,26/10/2023 13:11,0,Joan Q4 KR 1.1 Successfully communicate all feature releases on the product release updates channel
19,21,86703,711,26/10/2023 13:11,0,Joan Q4 KR 1.2 Develop comprehensive product manuals for the Recruitment and Performance Management tools
20,21,29151,711,26/10/2023 13:11,0,TK Q4 KR 1.1 Document competitive research for at least 2 products for EOR admin
21,21,29151,711,26/10/2023 13:11,0,TK Q4 KR 1.2 Ensure that all feedback given is iterated in 3 days for all designs done
22,21,29152,711,26/10/2023 13:11,0,Praise Q4 KR 1.1 Document competitive research for at least 2 products for EOR employee onboarding
23,21,29152,711,26/10/2023 13:11,0,Praise Q4 KR 1.2 Ensure that all feedback is iterated on within three days for all designs.
24,22,86703,711,26/10/2023 13:17,0,Joan Q4 KR 2.1 Successfully deploy the new onboarding journeys and have 4 customers from markets onboard successfully
25,22,86703,711,26/10/2023 13:17,0,Joan Q4 KR 2.2 Complete the product discovery phase for the EOR employee onboarding journey
26,22,29151,711,26/10/2023 13:17,0,TK Q4 KR 2.1 Redesign the customer onboarding Journey
27,22,29151,711,26/10/2023 13:17,0,TK Q4 KR 2.2 Complete documentation and guidelines for the design system to reduce back and forth in the design implementation process
28,22,29151,711,26/10/2023 13:17,0,TK Q4 KR 2.3 Design the product admin for EOR
29,22,29152,711,26/10/2023 13:17,0,Praise Q4 KR 2.1 Create hi-fi designs for the redesign of the employee onboarding journey
30,22,29152,711,26/10/2023 13:17,0,Praise Q4 KR 2.2 Complete documentation and guidelines for the design system to reduce back and forth in the design implementation process
31,22,29152,711,26/10/2023 13:17,0,Praise Q4 KR 2.3 Create designs for the employee onboarding of EOR employees
32,23,103024,711,26/10/2023 13:18,0,test test
33,28,54517,711,30/10/2023 12:04,0,"""Draft and finalize all necessary process guides and link to the handbook"
34,29,54517,711,30/10/2023 12:08,0,"Finalize up-to-date employee hanbook refelcting all necessary policies, fully formatted and without typos, and ready for release to team"
35,29,54517,711,30/10/2023 12:08,0,Execute 1 a job rotation to have employees learn what other departments do by taking on a specific project assignment from a colleague (eg. Engineer reviews a legal contract)
36,29,54517,711,30/10/2023 12:08,0,Organize and execute employee awards for EOY party\
37,30,15099,711,31/10/2023 09:28,0,Upload 106 short videos on published Knowledge Base articles
38,30,15099,711,31/10/2023 09:28,0,"By end- of Q4, a Support WhatsApp for Business line is created and integreated with Hubspot/Mteja Inbox with client WhatsApps actively being addressed in Hubspot/Mteja"
39,30,15099,711,31/10/2023 09:30,0,"By end- of Q3, a Support WhatsApp for Business line is created and integreated with Hubspot Conversation Inbox with client WhatsApps actively being addressed in Hubspot"
40,31,15099,711,31/10/2023 09:33,0,Reduce avg customer response time: email to 30 working mins.
41,33,19588,711,02/11/2023 10:26,0,"Success T2:1 Upsell & Cross sell upto $3,000 to existing clients"
42,33,19588,711,02/11/2023 10:26,0,Success T2:2 Ensure all clients whose subscriptions are expiring in Q4 renew
43,33,19588,711,02/11/2023 10:26,0,Success T2: 3 Successfully convert the clients from short-term contracts (monthly or quarterly) to long-term contracts (annual or bi-annual) by end of Q4
44,33,19588,711,02/11/2023 10:34,0,Success T2: 3 Successfully convert the clients from short-term contracts (monthly or quarterly) to long-term contracts (annual or bi-annual) by end of Q4
45,33,19588,711,02/11/2023 10:34,0,Success T2: 3 Successfully convert the clients from short-term contracts (monthly or quarterly) to long-term contracts (annual or bi-annual) by end of Q4
46,33,19588,711,02/11/2023 10:34,0,Success T2:1 Upsell &Cross-sell $3000 to existing clients by end of Q4
47,36,102104,1,02/11/2023 17:18,0,Social media campaign
48,36,102104,1,02/11/2023 17:18,0,Brand awareness
49,38,102104,1,02/11/2023 17:23,0,Inbound leads
50,38,102104,1,02/11/2023 17:23,0,Outbound leads
51,39,79353,711,03/11/2023 10:19,0,"Payroll KR 1.1: Create Statutory reports for 10 African countries (Kenya, Uganda, Tanzania, South Africa, Zambia, Nigeria, Ghana, Botswana, Malawi, Rwanda)"
52,39,79353,711,03/11/2023 10:19,0,Payroll KR 1.2: Ensure Leave for at least 30 more African countries are live and accessible to customers on Global system.
